target,text,textcon,text,label
sauce,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other T would have done much to enhance .","Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other ",would have done much to enhance .,0
dance floor,"After dinner , take your date to the HUGE T , probably one of the biggest you 'll see in NY .","After dinner , take your date to the HUGE ",", probably one of the biggest you 'll see in NY .",2
dinner,"After T , take your date to the HUGE dance floor , probably one of the biggest you 'll see in NY .",After ,", take your date to the HUGE dance floor , probably one of the biggest you 'll see in NY .",1
value,Taj Mahal offeres gret T and great food .,Taj Mahal offeres gret ,and great food .,2
food,Taj Mahal offeres gret value and great T .,Taj Mahal offeres gret value and great ,.,2
chef,Has the T and owner changed ? ? ?,Has the ,and owner changed ? ? ?,1
owner,Has the chef and T changed ? ? ?,Has the chef and ,changed ? ? ?,1
dinner,My boyfriend and I recently had an early T at Artisanal and was satisfied with our experience .,My boyfriend and I recently had an early ,at Artisanal and was satisfied with our experience .,2
bacon,"But do n't ever order T late at nite ( either platter or in sandwiches , for that matter do n't from any take out place ) as it is from the morning frying turns out hard almost like bacos , hurt my molars .",But do n't ever order ,"late at nite ( either platter or in sandwiches , for that matter do n't from any take out place ) as it is from the morning frying turns out hard almost like bacos , hurt my molars .",0
platter,"But do n't ever order bacon late at nite ( either T or in sandwiches , for that matter do n't from any take out place ) as it is from the morning frying turns out hard almost like bacos , hurt my molars .",But do n't ever order bacon late at nite ( either ,"or in sandwiches , for that matter do n't from any take out place ) as it is from the morning frying turns out hard almost like bacos , hurt my molars .",0
in sandwiches,"But do n't ever order bacon late at nite ( either platter or T , for that matter do n't from any take out place ) as it is from the morning frying turns out hard almost like bacos , hurt my molars .",But do n't ever order bacon late at nite ( either platter or ,", for that matter do n't from any take out place ) as it is from the morning frying turns out hard almost like bacos , hurt my molars .",0
frying,"But do n't ever order bacon late at nite ( either platter or in sandwiches , for that matter do n't from any take out place ) as it is from the morning T turns out hard almost like bacos , hurt my molars .","But do n't ever order bacon late at nite ( either platter or in sandwiches , for that matter do n't from any take out place ) as it is from the morning ","turns out hard almost like bacos , hurt my molars .",0
bacos,"But do n't ever order bacon late at nite ( either platter or in sandwiches , for that matter do n't from any take out place ) as it is from the morning frying turns out hard almost like T , hurt my molars .","But do n't ever order bacon late at nite ( either platter or in sandwiches , for that matter do n't from any take out place ) as it is from the morning frying turns out hard almost like ",", hurt my molars .",0
Bagels,"Outstanding T , but you get what you pay for .",Outstanding ,", but you get what you pay for .",2
Pizza,"T - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",a,"- the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",2
crust,"Pizza - the only pizza in NYC that should not have additional toppings - the T tastes like the best , freshly baked bread !",Pizza - the only pizza in NYC that should not have additional toppings - the ,"tastes like the best , freshly baked bread !",2
pizza,"T - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",a,"- the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",2
toppings,"Pizza - the only pizza in NYC that should not have additional T - the crust tastes like the best , freshly baked bread !",Pizza - the only pizza in NYC that should not have additional ,"- the crust tastes like the best , freshly baked bread !",1
bread,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked T !","Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked ",!,2
spot,"I found it on a cold night , the perfect T to warm up .","I found it on a cold night , the perfect ",to warm up .,2
menu,They even have a section in the T called American Chinese food !,They even have a section in the ,called American Chinese food !,0
American Chinese food,They even have a section in the menu called T !,They even have a section in the menu called ,!,0
Service,"T was warm and attentive , beef carpaachio was exellent ( huge portion ) and pasta was fresh and well-prepared .",a,"was warm and attentive , beef carpaachio was exellent ( huge portion ) and pasta was fresh and well-prepared .",2
beef carpaachio,"Service was warm and attentive , T was exellent ( huge portion ) and pasta was fresh and well-prepared .","Service was warm and attentive , ",was exellent ( huge portion ) and pasta was fresh and well-prepared .,2
pasta,"Service was warm and attentive , beef carpaachio was exellent ( huge portion ) and T was fresh and well-prepared .","Service was warm and attentive , beef carpaachio was exellent ( huge portion ) and ",was fresh and well-prepared .,2
portion,"Service was warm and attentive , beef carpaachio was exellent ( huge T ) and pasta was fresh and well-prepared .","Service was warm and attentive , beef carpaachio was exellent ( huge ",) and pasta was fresh and well-prepared .,2
kalbi,T and nebbiolo do work together .,a,and nebbiolo do work together .,1
nebbiolo,kalbi and T do work together .,kalbi and ,do work together .,1
Italian food,"Best T I ever had ( and being Italian , that means alot ) .",Best ,"I ever had ( and being Italian , that means alot ) .",2
Italian food,I will recommend Scopa to all of my friends for a place to go for wonderful T .,I will recommend Scopa to all of my friends for a place to go for wonderful ,.,2
Located,T at the end of a magnificent block .,a,at the end of a magnificent block .,2
meal,"Looking around , I saw a room full of New Yorkers enjoying a real T in a real restaurant , not a clubhouse of the fabulous trying to be seen .","Looking around , I saw a room full of New Yorkers enjoying a real ","in a real restaurant , not a clubhouse of the fabulous trying to be seen .",2
room,"Looking around , I saw a T full of New Yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .","Looking around , I saw a ","full of New Yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .",1
clubhouse,"Looking around , I saw a room full of New Yorkers enjoying a real meal in a real restaurant , not a T of the fabulous trying to be seen .","Looking around , I saw a room full of New Yorkers enjoying a real meal in a real restaurant , not a ",of the fabulous trying to be seen .,0
trays of Dim Sum,They do n't walk around with the T .,They do n't walk around with the ,.,1
bar,"Great T , most gorgeous bartenders you 've ever seen ( specifically the blond lady ) .",Great ,", most gorgeous bartenders you 've ever seen ( specifically the blond lady ) .",2
bartenders,"Great bar , most gorgeous T you 've ever seen ( specifically the blond lady ) .","Great bar , most gorgeous ",you 've ever seen ( specifically the blond lady ) .,2
dessert,We were planning to get T but the waitress basically through the bill at us before we had a chance to order .,We were planning to get ,but the waitress basically through the bill at us before we had a chance to order .,1
waitress,We were planning to get dessert but the T basically through the bill at us before we had a chance to order .,We were planning to get dessert but the ,basically through the bill at us before we had a chance to order .,0
bill,We were planning to get dessert but the waitress basically through the T at us before we had a chance to order .,We were planning to get dessert but the waitress basically through the ,at us before we had a chance to order .,1
cheff,I really loved the different and inovated touch that 's the T gives to the food .,I really loved the different and inovated touch that 's the ,gives to the food .,2
food,I really loved the different and inovated touch that 's the cheff gives to the T .,I really loved the different and inovated touch that 's the cheff gives to the ,.,2
cheese,They came out over cooked and the T was almost non existant .,They came out over cooked and the ,was almost non existant .,0
meal,"I had a terrific T , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .",I had a terrific ,", and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .",2
server,"I had a terrific meal , and our T guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .","I had a terrific meal , and our ","guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .",2
wine,"I had a terrific meal , and our server guided us toward a very nice T in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .","I had a terrific meal , and our server guided us toward a very nice ","in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .",2
wine,"I had a terrific meal , and our server guided us toward a very nice T in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .","I had a terrific meal , and our server guided us toward a very nice ","in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .",0
price rang,"I had a terrific meal , and our server guided us toward a very nice wine in our T e , instead of allowing us to purchase a similarly priced wine that was n't as good .","I had a terrific meal , and our server guided us toward a very nice wine in our ","e , instead of allowing us to purchase a similarly priced wine that was n't as good .",2
priced,"I had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly T wine that was n't as good .","I had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly ",wine that was n't as good .,1
svc,"The T can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",The ,"can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",0
food,"The T is good , especially their more basic dishes , and the drinks are delicious .",The ,"is good , especially their more basic dishes , and the drinks are delicious .",2
dishes,"The food is good , especially their more basic T , and the drinks are delicious .","The food is good , especially their more basic ",", and the drinks are delicious .",2
drinks,"The food is good , especially their more basic dishes , and the T are delicious .","The food is good , especially their more basic dishes , and the ",are delicious .,2
whole grilled fish,But the main hit was the T .,But the main hit was the ,.,2
tuna tartare,"I had the T with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for $ 49 .",I had the ,"with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for $ 49 .",2
sake,"I had the tuna tartare with T , mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for $ 49 .",I had the tuna tartare with ,", mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for $ 49 .",2
mushroom ravioli,"I had the tuna tartare with sake , T with pinot noir , and the chocolate sampler with a dessert wine for $ 49 .","I had the tuna tartare with sake , ","with pinot noir , and the chocolate sampler with a dessert wine for $ 49 .",2
pinot noir,"I had the tuna tartare with sake , mushroom ravioli with T , and the chocolate sampler with a dessert wine for $ 49 .","I had the tuna tartare with sake , mushroom ravioli with ",", and the chocolate sampler with a dessert wine for $ 49 .",2
chocolate sampler,"I had the tuna tartare with sake , mushroom ravioli with pinot noir , and the T with a dessert wine for $ 49 .","I had the tuna tartare with sake , mushroom ravioli with pinot noir , and the ",with a dessert wine for $ 49 .,2
dessert wine,"I had the tuna tartare with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a T for $ 49 .","I had the tuna tartare with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a ",for $ 49 .,2
lunch,On a hot day it was fabulous to stop in and enjoy T .,On a hot day it was fabulous to stop in and enjoy ,.,2
food,The T is delicious and beautifully prepared along with the friendly and personable service .,The ,is delicious and beautifully prepared along with the friendly and personable service .,2
service,The food is delicious and beautifully prepared along with the friendly and personable T .,The food is delicious and beautifully prepared along with the friendly and personable ,.,2
lines,I usually go there later at night when I get off work so I do n't have to deal with crowds or T .,I usually go there later at night when I get off work so I do n't have to deal with crowds or ,.,0
crowds,I usually go there later at night when I get off work so I do n't have to deal with T or lines .,I usually go there later at night when I get off work so I do n't have to deal with ,or lines .,0
Pizza,T here is consistently good .,a,here is consistently good .,2
shows,We had a great tiem watching the T and characters and ar food was just what we were looking for .,We had a great tiem watching the ,and characters and ar food was just what we were looking for .,2
food,We had a great tiem watching the shows and characters and ar T was just what we were looking for .,We had a great tiem watching the shows and characters and ar ,was just what we were looking for .,2
characters,We had a great tiem watching the shows and T and ar food was just what we were looking for .,We had a great tiem watching the shows and ,and ar food was just what we were looking for .,2
waiter,"After 2 tries by the T to take it away ( we had n't even looked at it yet , we had full beers yet to drink ) , the manager approached and told us they needed the table for people with reservations .",After 2 tries by the ,"to take it away ( we had n't even looked at it yet , we had full beers yet to drink ) , the manager approached and told us they needed the table for people with reservations .",0
beers,"After 2 tries by the waiter to take it away ( we had n't even looked at it yet , we had full T yet to drink ) , the manager approached and told us they needed the table for people with reservations .","After 2 tries by the waiter to take it away ( we had n't even looked at it yet , we had full ","yet to drink ) , the manager approached and told us they needed the table for people with reservations .",1
manager,"After 2 tries by the waiter to take it away ( we had n't even looked at it yet , we had full beers yet to drink ) , the T approached and told us they needed the table for people with reservations .","After 2 tries by the waiter to take it away ( we had n't even looked at it yet , we had full beers yet to drink ) , the ",approached and told us they needed the table for people with reservations .,0
reservations,"After 2 tries by the waiter to take it away ( we had n't even looked at it yet , we had full beers yet to drink ) , the manager approached and told us they needed the table for people with T .","After 2 tries by the waiter to take it away ( we had n't even looked at it yet , we had full beers yet to drink ) , the manager approached and told us they needed the table for people with ",.,2
dinner,Would n't recomend it for T !,Would n't recomend it for ,!,0
Sauce,T was watery and the food did n't have much flavor .,a,was watery and the food did n't have much flavor .,0
food,Sauce was watery and the T did n't have much flavor .,Sauce was watery and the ,did n't have much flavor .,0
flavor,Sauce was watery and the food did n't have much T .,Sauce was watery and the food did n't have much ,.,0
Sangria,My husband and I enjoy T .,My husband and I enjoy ,.,2
indian cuisine,"But after last night , Spice Grill is the only place I 'm eating T .","But after last night , Spice Grill is the only place I 'm eating ",.,2
pasta dish,We both opted for a T and they were served timely and fresh .,We both opted for a ,and they were served timely and fresh .,2
served,We both opted for a pasta dish and they were T timely and fresh .,We both opted for a pasta dish and they were ,timely and fresh .,2
bread,"First the wrong T came out with the appetizer , then when i tried to order a second glass of wine for my main course ...",First the wrong ,"came out with the appetizer , then when i tried to order a second glass of wine for my main course ...",0
appetizer,"First the wrong bread came out with the T , then when i tried to order a second glass of wine for my main course ...",First the wrong bread came out with the ,", then when i tried to order a second glass of wine for my main course ...",1
glass of wine,"First the wrong bread came out with the appetizer , then when i tried to order a second T for my main course ...","First the wrong bread came out with the appetizer , then when i tried to order a second ",for my main course ...,1
main course,"First the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my T ...","First the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my ",...,1
neighborhood,"Not sure where the previous reviewer , lonk , dined , but Saul is in a great T and has great food !","Not sure where the previous reviewer , lonk , dined , but Saul is in a great ",and has great food !,2
food,"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great T !","Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great ",!,2
Thai food,"In an area sadly lacking in decent T , this is one of the best spots .",In an area sadly lacking in decent ,", this is one of the best spots .",2
waiter,Tell them Herky sent you and get a free confused look from the T .,Tell them Herky sent you and get a free confused look from the ,.,0
hosting staff,Make reservations but expect to be delayed 15-20 minutes as the T was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .,Make reservations but expect to be delayed 15-20 minutes as the ,was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .,0
reservations,Make T but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .,Make ,but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .,0
reservation,Make Ts but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .,Make ,s but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .,1
seating,Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty T guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .,Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty ,guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .,0
food,The T was average or above including some surprising tasty dishes .,The ,was average or above including some surprising tasty dishes .,2
dishes,The food was average or above including some surprising tasty T .,The food was average or above including some surprising tasty ,.,2
specials,They do n't seem to place an emphasis on T or fresh ingredients which to me is necessary for good thai .,They do n't seem to place an emphasis on ,or fresh ingredients which to me is necessary for good thai .,0
ingredients,They do n't seem to place an emphasis on specials or fresh T which to me is necessary for good thai .,They do n't seem to place an emphasis on specials or fresh ,which to me is necessary for good thai .,0
thai,They do n't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good T .,They do n't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good ,.,1
apetizers,Other T and food,Other ,and food,1
food,Other apetizers and T,Other apetizers and ,a,1
noodle and rices dishes,The T taste great .,The ,taste great .,2
food,The T 's as good as ever .,The ,'s as good as ever .,2
crust,"The T is thin , the ingredients are fresh and the staff is friendly .",The ,"is thin , the ingredients are fresh and the staff is friendly .",2
staff,"The crust is thin , the ingredients are fresh and the T is friendly .","The crust is thin , the ingredients are fresh and the ",is friendly .,2
ingredients,"The crust is thin , the T are fresh and the staff is friendly .","The crust is thin , the ",are fresh and the staff is friendly .,2
bagel,Also a little more expensive than your average T place .,Also a little more expensive than your average ,place .,1
food,"the T was undercooked-the sauce watery , and the vegetables raw .",the ,"was undercooked-the sauce watery , and the vegetables raw .",0
vegetables,"the food was undercooked-the sauce watery , and the T raw .","the food was undercooked-the sauce watery , and the ",raw .,0
sauce,"the food was undercooked-the T watery , and the vegetables raw .",the food was undercooked-the ,"watery , and the vegetables raw .",0
fried clams,And the T had just enough kick to them to make 'em worth eating .,And the ,had just enough kick to them to make 'em worth eating .,2
sauces,The T used are also not that exciting .,The ,used are also not that exciting .,0
lunch menu,The secret is the T which offers a complimentary appetizer with every entree ordered .,The secret is the ,which offers a complimentary appetizer with every entree ordered .,2
appetizer,The secret is the lunch menu which offers a complimentary T with every entree ordered .,The secret is the lunch menu which offers a complimentary ,with every entree ordered .,2
entree,The secret is the lunch menu which offers a complimentary appetizer with every T ordered .,The secret is the lunch menu which offers a complimentary appetizer with every ,ordered .,2
rice,The T was poor quality and was cooked so badly it was hard .,The ,was poor quality and was cooked so badly it was hard .,0
quality,The rice was poor T and was cooked so badly it was hard .,The rice was poor ,and was cooked so badly it was hard .,0
cooked,The rice was poor quality and was T so badly it was hard .,The rice was poor quality and was ,so badly it was hard .,0
champagne,We had T and caviar and felt like princesses !,We had ,and caviar and felt like princesses !,2
caviar,We had champagne and T and felt like princesses !,We had champagne and ,and felt like princesses !,2
shrimp scampi,The T was excellent and the antipasti were plentiful .,The ,was excellent and the antipasti were plentiful .,2
antipasti,The shrimp scampi was excellent and the T were plentiful .,The shrimp scampi was excellent and the ,were plentiful .,2
dessert,"When my T came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",When my ,"came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",1
waiter,"When my dessert came , there was a candle in it - not because anyone asked for one - but because the T must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .","When my dessert came , there was a candle in it - not because anyone asked for one - but because the ","must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",2
dim sum combo,"I got the $ 10 10-piece T , every bite of which was great .",I got the $ 10 10-piece ,", every bite of which was great .",2
seating,There is also very limited T and there can be a substantial wait in getting food at peak times .,There is also very limited ,and there can be a substantial wait in getting food at peak times .,0
food,There is also very limited seating and there can be a substantial wait in getting T at peak times .,There is also very limited seating and there can be a substantial wait in getting ,at peak times .,1
wait,There is also very limited seating and there can be a substantial T in getting food at peak times .,There is also very limited seating and there can be a substantial ,in getting food at peak times .,0
martini,"If it 's just a quick T at the bar ( which I recommend Jeffery 's ) or a mind blowing Roast Chicken , go to Village !",If it 's just a quick ,"at the bar ( which I recommend Jeffery 's ) or a mind blowing Roast Chicken , go to Village !",1
bar,"If it 's just a quick martini at the T ( which I recommend Jeffery 's ) or a mind blowing Roast Chicken , go to Village !",If it 's just a quick martini at the ,"( which I recommend Jeffery 's ) or a mind blowing Roast Chicken , go to Village !",1
Roast Chicken,"If it 's just a quick martini at the bar ( which I recommend Jeffery 's ) or a mind blowing T , go to Village !",If it 's just a quick martini at the bar ( which I recommend Jeffery 's ) or a mind blowing ,", go to Village !",2
table,"There was a long wait for a T outside , but it was a little too hot in the sun anyway so our insde table was very nice .",There was a long wait for a ,"outside , but it was a little too hot in the sun anyway so our insde table was very nice .",1
insde table,"There was a long wait for a table outside , but it was a little too hot in the sun anyway so our T was very nice .","There was a long wait for a table outside , but it was a little too hot in the sun anyway so our ",was very nice .,2
wait,"There was a long T for a table outside , but it was a little too hot in the sun anyway so our insde table was very nice .",There was a long ,"for a table outside , but it was a little too hot in the sun anyway so our insde table was very nice .",0
prices,The T are wonderfully low .,The ,are wonderfully low .,2
chicken vindaloo,If you like spicy food get the T .,If you like spicy food get the ,.,1
spicy food,If you like T get the chicken vindaloo .,If you like ,get the chicken vindaloo .,1
lunch specials,I have never been disappointed but their true strength lays in their amazingly delicious and cheap T .,I have never been disappointed but their true strength lays in their amazingly delicious and cheap ,.,2
bar food,"So much more than the usual T , go there to enjoy the menu while sampling one of their hand-crafted beers .",So much more than the usual ,", go there to enjoy the menu while sampling one of their hand-crafted beers .",2
menu,"So much more than the usual bar food , go there to enjoy the T while sampling one of their hand-crafted beers .","So much more than the usual bar food , go there to enjoy the ",while sampling one of their hand-crafted beers .,2
hand-crafted beers,"So much more than the usual bar food , go there to enjoy the menu while sampling one of their T .","So much more than the usual bar food , go there to enjoy the menu while sampling one of their ",.,2
drink,No free T .,No free ,.,1
food,This is my first time writing a review for a restaurant because the T and service was excellent .,This is my first time writing a review for a restaurant because the ,and service was excellent .,2
service,This is my first time writing a review for a restaurant because the food and T was excellent .,This is my first time writing a review for a restaurant because the food and ,was excellent .,2
capex,"While they keep the T to a minimum , they do put some cash into the bagels , because they among the best in the city .",While they keep the ,"to a minimum , they do put some cash into the bagels , because they among the best in the city .",2
bagels,"While they keep the capex to a minimum , they do put some cash into the T , because they among the best in the city .","While they keep the capex to a minimum , they do put some cash into the ",", because they among the best in the city .",1
chefs,The two star T left quite some time ago to open their own place .,The two star ,left quite some time ago to open their own place .,1
decor,Do n't waste money on T .,Do n't waste money on ,.,1
back garden,They also have a T open in the summer - cute and French with outdoor seating - what more could you ask for ?,They also have a ,open in the summer - cute and French with outdoor seating - what more could you ask for ?,2
outdoor seatin,They also have a back garden open in the summer - cute and French with T g - what more could you ask for ?,They also have a back garden open in the summer - cute and French with ,g - what more could you ask for ?,2
nigiri,I have never before eaten 40 pieces of relatively good T .,I have never before eaten 40 pieces of relatively good ,.,1
architecture,"Given the incredible T surrounding it , this place has no character .",Given the incredible ,"surrounding it , this place has no character .",2
place,"Given the incredible architecture surrounding it , this T has no character .","Given the incredible architecture surrounding it , this ",has no character .,0
dinner,I 'd call it an 'italian T ' .,I 'd call it an 'italian ,' .,1
drinks,"While the place is not a hotspot hangout , the T are unique and pack a lot of bang for the buck .","While the place is not a hotspot hangout , the ",are unique and pack a lot of bang for the buck .,2
place,"While the T is not a hotspot hangout , the drinks are unique and pack a lot of bang for the buck .",While the ,"is not a hotspot hangout , the drinks are unique and pack a lot of bang for the buck .",0
food,Have frequented 'ino for several years and the T remains excellent .,Have frequented 'ino for several years and the ,remains excellent .,2
eggplant,"Their T is so delicate , sweet tender !",Their ,"is so delicate , sweet tender !",2
food,"Each bite of T at Kai was indeed delicious , fresh , and elegant .",Each bite of ,"at Kai was indeed delicious , fresh , and elegant .",2
food,all the T was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it .,all the ,was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it .,2
quality of food,all the food was excellent - considering the T in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it .,all the food was excellent - considering the ,in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it .,2
priced,all the food was excellent - considering the quality of food in most moderately T restaurants is mediocre this was slightly more pricey and well worth it .,all the food was excellent - considering the quality of food in most moderately ,restaurants is mediocre this was slightly more pricey and well worth it .,1
mushroom pizza,My friend got the T which tasted better .,My friend got the ,which tasted better .,2
cod with paella,"I had the T ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again , a big serving - at least 5 pieces of fish and a basketful of fries ) .",I had the ,"( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again , a big serving - at least 5 pieces of fish and a basketful of fries ) .",0
fish and chips,"I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic T ( again , a big serving - at least 5 pieces of fish and a basketful of fries ) .","I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic ","( again , a big serving - at least 5 pieces of fish and a basketful of fries ) .",0
serving,"I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again , a big T - at least 5 pieces of fish and a basketful of fries ) .","I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again , a big ",- at least 5 pieces of fish and a basketful of fries ) .,0
fish,"I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic T and chips ( again , a big serving - at least 5 pieces of fish and a basketful of fries ) .","I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic ","and chips ( again , a big serving - at least 5 pieces of fish and a basketful of fries ) .",1
fries,"I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again , a big serving - at least 5 pieces of fish and a basketful of T ) .","I had the cod with paella ( spicy and very filling , I 'm a big eater and could only eat half ) while my boyfriend had the classic fish and chips ( again , a big serving - at least 5 pieces of fish and a basketful of ",) .,1
place,"It 's a shame that a nice , convenient T like the Pink Pony can be so ruined by lousy service .","It 's a shame that a nice , convenient ",like the Pink Pony can be so ruined by lousy service .,2
service,"It 's a shame that a nice , convenient place like the Pink Pony can be so ruined by lousy T .","It 's a shame that a nice , convenient place like the Pink Pony can be so ruined by lousy ",.,0
calamari,You should pass on the T .,You should pass on the ,.,0
porcini mushroom pasta special,"The T was tasteless , so was the seafood tagliatelle .",The ,"was tasteless , so was the seafood tagliatelle .",0
seafood tagliatelle,"The porcini mushroom pasta special was tasteless , so was the T .","The porcini mushroom pasta special was tasteless , so was the ",.,0
spicy wontons,Try the T and the salt pepper shrimps .,Try the ,and the salt pepper shrimps .,2
salt pepper shrimps,Try the spicy wontons and the T .,Try the spicy wontons and the ,.,2
FOOD PORTIONS,THE T ARE REALLY LARGE .,THE ,ARE REALLY LARGE .,2
fries,The T are yummy .,The ,are yummy .,2
staff,"Friendly and informative T , very attentive and prompt raw bar service .",Friendly and informative ,", very attentive and prompt raw bar service .",2
bar service,"Friendly and informative staff , very attentive and prompt raw T .","Friendly and informative staff , very attentive and prompt raw ",.,2
Taiwanese food,Best T in NY !,Best ,in NY !,2
food,This place is a great stop for great T .,This place is a great stop for great ,.,2
pastas,All the T are fantastic and the homemade lasagna is some of the best that I have had in the City .,All the ,are fantastic and the homemade lasagna is some of the best that I have had in the City .,2
homemade lasagna,All the pastas are fantastic and the T is some of the best that I have had in the City .,All the pastas are fantastic and the ,is some of the best that I have had in the City .,2
dessert menu,"We laughed when he finally offered us a T and we left a 10 percent tip , which was generous , I feel .",We laughed when he finally offered us a ,"and we left a 10 percent tip , which was generous , I feel .",1
tip,"We laughed when he finally offered us a dessert menu and we left a 10 percent T , which was generous , I feel .",We laughed when he finally offered us a dessert menu and we left a 10 percent ,", which was generous , I feel .",2
prices,And the T were way to high for what you get .,And the ,were way to high for what you get .,0
staff,The T ignored my friends and I the entire time we were there .,The ,ignored my friends and I the entire time we were there .,0
service,"Yet paired with such rude T , would never recommend for anyone interested in carrying any kind of conversation while there .",Yet paired with such rude ,", would never recommend for anyone interested in carrying any kind of conversation while there .",0
music,"The in-house lady DJ on Saturday nights has outrageously good taste in T , and moreover , takes requests .",The in-house lady DJ on Saturday nights has outrageously good taste in ,", and moreover , takes requests .",2
in-house lady DJ,"The T on Saturday nights has outrageously good taste in music , and moreover , takes requests .",The ,"on Saturday nights has outrageously good taste in music , and moreover , takes requests .",2
rolls,"I need at least three T to be full , and that 's at least $ 14.00 !",I need at least three ,"to be full , and that 's at least $ 14.00 !",1
wine list,"Great T , reasonably priced. -- Sara",Great ,", reasonably priced. -- Sara",2
priced,"Great wine list , reasonably T . -- Sara","Great wine list , reasonably ",. -- Sara,2
hot dogs,The T were cold in the middle and the buns were stale .,The ,were cold in the middle and the buns were stale .,0
