target,text,text,text,label
feature ,"Even so , I like playing online games , so it was wonderful that there is a feature where I can dualboot Windows .","Even so , I like playing online games , so it was wonderful that there is a ",where I can dualboot Windows .,2
Windows ,"Even so , I like playing online games , so it was wonderful that there is a feature where I can dualboot Windows .","Even so , I like playing online games , so it was wonderful that there is a feature where I can dualboot ",.,2
games ,"Even so , I like playing online games , so it was wonderful that there is a feature where I can dualboot Windows .","Even so , I like playing online ",", so it was wonderful that there is a feature where I can dualboot Windows .",1
battery life ,The battery life is amazingly long at 7hrs and 5hrs if you use it .,The ,is amazingly long at 7hrs and 5hrs if you use it .,2
battery life ,"lightweight , long battery life , excellent transition from PC ;","lightweight , long ",", excellent transition from PC ;",2
price ,The price is another driving influence that made me purchase this laptop .,The ,is another driving influence that made me purchase this laptop .,2
Nortons virus scan ,The Nortons virus scan is only for a very short time unlike others that usually are good for a year .,The ,is only for a very short time unlike others that usually are good for a year .,0
frame ,It is stamped and not in pieces therefore it is a stronger more resilient frame .,It is stamped and not in pieces therefore it is a stronger more resilient ,.,2
features ,I am first time Mac Buyer and am amazed at features and ease of use the Mac offers .,I am first time Mac Buyer and am amazed at ,and ease of use the Mac offers .,2
use ,I am first time Mac Buyer and am amazed at features and ease of use the Mac offers .,I am first time Mac Buyer and am amazed at features and ease of ,the Mac offers .,2
loaded ,Came fully loaded - good .,Came fully ,- good .,2
Windows 7 ,"I noticed windows has a new system called Windows 7 , what about us Vista users ? Â  They should get all the bugs out of Vista before investing in a new system .",I noticed windows has a new system called ,", what about us Vista users ? Â  They should get all the bugs out of Vista before investing in a new system .",1
Vista ,"I noticed windows has a new system called Windows 7 , what about us Vista users ? Â  They should get all the bugs out of Vista before investing in a new system .","I noticed windows has a new system called Windows 7 , what about us ",users ? Â  They should get all the bugs out of Vista before investing in a new system .,1
Vista ,"I noticed windows has a new system called Windows 7 , what about us Vista users ? Â  They should get all the bugs out of Vista a before investing in a new system .","I noticed windows has a new system called Windows 7 , what about us ",users ? Â  They should get all the bugs out of Vista a before investing in a new system .,0
windows ,"I noticed windows has a new system called Windows 7 , what about us Vista users ? Â  They should get all the bugs out of Vista before investing in a new system .",I noticed ,"has a new system called Windows 7 , what about us Vista users ? Â  They should get all the bugs out of Vista before investing in a new system .",1
Vista ,"When we bought our new HP comouter in Dec. of 2008 , we wanted Windows XP , but were told it would cost an extra $ 159 , so we went with Vista .","When we bought our new HP comouter in Dec. of 2008 , we wanted Windows XP , but were told it would cost an extra $ 159 , so we went with ",.,1
key broad ,"The only thing that I have , is the key broad is a little dark to see the letters , would help if it was a little lighter then it is .","The only thing that I have , is the ","is a little dark to see the letters , would help if it was a little lighter then it is .",0
warranty ,I 'm still within the one year warranty but the repair `` depot '' has deemed that this time it was caused by physical abuse and is not covered .,I 'm still within the one year ,but the repair `` depot '' has deemed that this time it was caused by physical abuse and is not covered .,0
repair `` depot '' ,I 'm still within the one year warranty but the repair `` depot '' has deemed that this time it was caused by physical abuse and is not covered .,I 'm still within the one year warranty but the ,has deemed that this time it was caused by physical abuse and is not covered .,0
school use ,Â  But I needed a laptop for school use e .,Â  But I needed a laptop for ,e .,1
design ,This is the complete opposite to an ergonomic design .,This is the complete opposite to an ergonomic ,.,0
battery life ,I would like at least a 4 hr . battery life .,I would like at least a 4 hr . ,.,1
programs ,The only thing that I do n't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to .,The only thing that I do n't like about my mac is that sometimes there are ,that I want to be able to run and I am not able to .,0
Wireless ,"Wireless has not been a issue for me , like some others have meantioned .",a,"has not been a issue for me , like some others have meantioned .",2
battery life ,"MacBook Notebooks quickly die out because of their short battery life , as well as the many background programs that run without the user 's knowlede .",MacBook Notebooks quickly die out because of their short ,", as well as the many background programs that run without the user 's knowlede .",0
programs ,"MacBook Notebooks quickly die out because of their short battery life , as well as the many background programs that run without the user 's knowlede .","MacBook Notebooks quickly die out because of their short battery life , as well as the many background ",that run without the user 's knowlede .,0
trackpad ,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler , quicker , and easier .",All the things you can do with the ,"make navigating around the computer and its programs so much simpler , quicker , and easier .",2
programs ,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler , quicker , and easier .",All the things you can do with the trackpad make navigating around the computer and its ,"so much simpler , quicker , and easier .",2
navigating ,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler , quicker , and easier .",All the things you can do with the trackpad make ,"around the computer and its programs so much simpler , quicker , and easier .",2
speakers ,I guess the only good thing that came out of these were the speakers and the subwoofer .,I guess the only good thing that came out of these were the ,and the subwoofer .,2
subwoofer ,I guess the only good thing that came out of these were the speakers and the subwoofer .,I guess the only good thing that came out of these were the speakers and the ,.,2
built in camera ,Theres a built in camera with special effects- for video and photography .,Theres a ,with special effects- for video and photography .,2
price ,All for such a great price .,All for such a great ,.,2
warranty ,"Â  Long story short , since I experience so many problems with my laptop every since I bought it from day one , I did n't ask for a new laptop or a refund of what I pay for a crapy laptop , but just an extension of my laptop warranty y for another year , they made a big deal of out that and after so many calls and complaints about their products and services , they finally gave in .","Â  Long story short , since I experience so many problems with my laptop every since I bought it from day one , I did n't ask for a new laptop or a refund of what I pay for a crapy laptop , but just an extension of my laptop ","y for another year , they made a big deal of out that and after so many calls and complaints about their products and services , they finally gave in .",1
left mouse key ,Another thing is that after only a month the left mouse key broke and it costed $ 175 to send it in to fix it .,Another thing is that after only a month the ,broke and it costed $ 175 to send it in to fix it .,0
costed ,Another thing is that after only a month the left mouse key broke and it costed $ 175 to send it in to fix it .,Another thing is that after only a month the left mouse key broke and it ,$ 175 to send it in to fix it .,1
speed ,It has good speed and plenty of hard drive space .,It has good ,and plenty of hard drive space .,2
hard drive space ,It has good speed and plenty of hard drive space .,It has good speed and plenty of ,.,2
picture ,Clear picture on it and everything .,Clear ,on it and everything .,2
extended warranty ,"They said that my computer was covered on an extended warranty , and that products withÂ  extended warranties are taken care of through third parties and not Sony itself anymore .",They said that my computer was covered on an ,", and that products withÂ  extended warranties are taken care of through third parties and not Sony itself anymore .",1
extended warranties ,"They said that my computer was covered on an extended warranty , and that products withÂ  extended warranties s are taken care of through third parties and not Sony itself anymore .","They said that my computer was covered on an extended warranty , and that products withÂ  ",s are taken care of through third parties and not Sony itself anymore .,1
battery ,Very long-life battery ( up to 10-11 hours depending on how you configure power level settings ) .,Very long-life ,( up to 10-11 hours depending on how you configure power level settings ) .,2
Screen ,"Screen is awesome , battery life is good .",a,"is awesome , battery life is good .",2
battery life ,"Screen is awesome , battery life is good .","Screen is awesome , ",is good .,2
appearance ,The black model also has a very nice seamless appearance - one of the better looking notebooks I 've seen .,The black model also has a very nice seamless ,- one of the better looking notebooks I 've seen .,2
technical service for dell ,The technical service for dell is so 3rd world it might as well not even bother .,The ,is so 3rd world it might as well not even bother .,0
graphics ,The graphics were awful and the warranty is n't even worth the cheap payment on the computer .,The ,were awful and the warranty is n't even worth the cheap payment on the computer .,0
warranty ,The graphics were awful and the warranty is n't even worth the cheap payment on the computer .,The graphics were awful and the ,is n't even worth the cheap payment on the computer .,0
battery ,"They gave me a hard time yet again , but their was a malfunction in the battery itself , it did n't die .","They gave me a hard time yet again , but their was a malfunction in the ","itself , it did n't die .",0
case ,"If you do n't feel comfortable doing it yourself , just buy the case and be happy , plus it looks nice , I bought the white one from Best Buy .","If you do n't feel comfortable doing it yourself , just buy the ","and be happy , plus it looks nice , I bought the white one from Best Buy .",2
performance ,"you can find many laptops with the same performance and even better with lower price , but you can not find the look , easy , applications , and the experience in mac .",you can find many laptops with the same ,"and even better with lower price , but you can not find the look , easy , applications , and the experience in mac .",1
price ,"you can find many laptops with the same performance and even better with lower price , but you can not find the look , easy , applications , and the experience in mac .",you can find many laptops with the same performance and even better with lower ,", but you can not find the look , easy , applications , and the experience in mac .",2
look ,"you can find many laptops with the same performance and even better with lower price , but you can not find the look , easy , applications , and the experience in mac .","you can find many laptops with the same performance and even better with lower price , but you can not find the ",", easy , applications , and the experience in mac .",2
applications ,"you can find many laptops with the same performance and even better with lower price , but you can not find the look , easy , applications , and the experience in mac .","you can find many laptops with the same performance and even better with lower price , but you can not find the look , easy , ",", and the experience in mac .",2
speed ,Excellent speed for processing data .,Excellent ,for processing data .,2
tech support ,When you call tech support you were routed to someone who was in another country and did not know what they were doing .,When you call ,you were routed to someone who was in another country and did not know what they were doing .,0
gaming ,"It has come into good use for my finances , scheduling , my parents business expenses , and it is definitely amazing for gaming .","It has come into good use for my finances , scheduling , my parents business expenses , and it is definitely amazing for ",.,2
use ,"It has come into good use for my finances , scheduling , my parents business expenses , and it is definitely amazing for gaming .",It has come into good ,"for my finances , scheduling , my parents business expenses , and it is definitely amazing for gaming .",2
Photoshop ,I was taught to use Photoshop and was amazed .,I was taught to use ,and was amazed .,2
ram ,4gb of ram ...,4gb of ,...,1
system clock ,Somehow the system clock got messed up after reboot .,Somehow the ,got messed up after reboot .,0
RAM ,"the only problem is that i had to add 1 gb RAM , the computer was kinda slow .",the only problem is that i had to add 1 gb ,", the computer was kinda slow .",0
securitysoftware ,With the macbook pro it comes with free securitysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails .,With the macbook pro it comes with free ,to protect it from viruses and other intrusive things from downloads and internet surfing or emails .,2
driver updates ,"The driver updates do n't fix the issue , very frustrating .",The ,"do n't fix the issue , very frustrating .",0
Windows ,I will never go back to Windows !,I will never go back to ,!,0
work ,It doesnt work worth a damn .,It doesnt ,worth a damn .,0
works ,It works really well .,It ,really well .,2
HD ,"Bigger HD , better graphics card , and a bid HD .",Bigger ,", better graphics card , and a bid HD .",2
HD ,"Bigger HD , better graphics card , and a bid HD .",Bigger ,", better graphics card , and a bid HD .",2
graphics card ,"Bigger HD , better graphics card , and a bid HD .","Bigger HD , better ",", and a bid HD .",2
built in camera ,The built in camera is very useful when chatting with other techs in remote buildings on our campus .,The ,is very useful when chatting with other techs in remote buildings on our campus .,2
DVD burner ,"Mine came at $ 1,700 w/o a DVD burner ( ! ) .","Mine came at $ 1,700 w/o a ",( ! ) .,0
DVD burner ,The DVD burner broke after burning 3 DVD 'd during that time !,The ,broke after burning 3 DVD 'd during that time !,0
works ,It works fine with our wireless and they 've had not problems .,It ,fine with our wireless and they 've had not problems .,2
15 inch ,But you must get the 15 inch .,But you must get the ,.,2
Product support ,Product support very poor as each phone call costs me long distan,a,very poor as each phone call costs me long distan,0
screen ,"Overall the computer is very easy to use , the screen is perfect , great computer , my daughter loves .","Overall the computer is very easy to use , the ","is perfect , great computer , my daughter loves .",2
use ,"Overall the computer is very easy to use , the screen is perfect , great computer , my daughter loves .",Overall the computer is very easy to ,", the screen is perfect , great computer , my daughter loves .",2
casing of the power cord ,Â  The casing of the power cord d fried and shocked my husband when he pulled it out of the socket .,Â  The ,d fried and shocked my husband when he pulled it out of the socket .,0
internet signals ,It does not keep internet signals no matter where you bring it .,It does not keep ,no matter where you bring it .,0
price ,It 's a great product for a great price !,It 's a great product for a great ,!,2
right speaker ,"Again , the same problem , the right speaker did not work .","Again , the same problem , the ",did not work .,0
software ,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates .,But see the macbook pro is different because it may have a huge price tag but it comes with the full ,that you would actually need and most of it has free future updates .,2
updates ,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates .,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future ,.,2
multiple page viewer ,and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen ) are great for those who are working non stop or just shopping online .,and the ,( allows you to press one button to see every separate page currently opened at the same time in one screen ) are great for those who are working non stop or just shopping online .,2
shipped ,This was the 3rd day and part still had not been shipped .,This was the 3rd day and part still had not been ,.,0
Keyboard ,Keyboard good sized and wasy to use .,a,good sized and wasy to use .,2
use ,Keyboard good sized and wasy to use .,Keyboard good sized and wasy to ,.,2
warranty ,HP said it was out of warranty .,HP said it was out of ,.,1
quality ,"I never had this kind of quality issue with Dell ( not to say Dell is that great ) , not with a brand new laptop .",I never had this kind of ,"issue with Dell ( not to say Dell is that great ) , not with a brand new laptop .",0
features ,wonderful features .,wonderful ,.,2
recovery disk ,I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all .,I had to call HP and ask for a ,because the computer does not come with one and completely redo it all .,0
features ,Im glad that it has such great features in it .,Im glad that it has such great ,in it .,2
programs ,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well .,I like those ,better than Office and you can save your files to be completely compatible with the Office programs as well .,2
Office ,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well .,I like those programs better than ,and you can save your files to be completely compatible with the Office programs as well .,0
Office programs ,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well .,I like those programs better than Office and you can save your files to be completely compatible with the ,as well .,1
wifi ,Great wifi too .,Great ,too .,2
TYPING ,"WHEN TYPING , LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES .",WHEN ,", LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES .",0
screen ,"Â  Only a few days after I received the computer back , the screen n froze again .","Â  Only a few days after I received the computer back , the ",n froze again .,0
temp ,It is not ideal for children because of the temp .,It is not ideal for children because of the ,.,0
Windows operating system ,Although i do believe that Windows operating system may be to fault for some of the problems .,Although i do believe that ,may be to fault for some of the problems .,0
OS ,"Great OS , fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port .",Great ,", fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port .",2
processor speed ,"Great OS , fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port .","Great OS , fabulous improvements to the existing line bumping up the ",and adding the thunderbolt port .,2
thunderbolt port ,"Great OS , fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port .","Great OS , fabulous improvements to the existing line bumping up the processor speed and adding the ",.,2
lcd screen ,Â  The lcd screen n stopped working on mine after 10 months .,Â  The ,n stopped working on mine after 10 months .,0
Images ,Images are crisp and clean .,a,are crisp and clean .,2
windows vista ,although its windows vista compared to windows xp sucks .,although its ,compared to windows xp sucks .,0
windows xp ,although its windows vista compared to windows xp sucks .,although its windows vista compared to ,sucks .,2
Vista ,"Â  We have had numerous problems with Vista a , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .",Â  We have had numerous problems with ,"a , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .",0
Adobe Flash player ,"Â  We have had numerous problems with Vista , such as Adobe Flash player r just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .","Â  We have had numerous problems with Vista , such as ","r just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .",0
Internet Explore ,"Â  We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore e just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .","Â  We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , ","e just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .",0
Windows update ,"Â  We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update e has appeared on this computer since we got it and has been updated probably 400 times , the same update .","Â  We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same ","e has appeared on this computer since we got it and has been updated probably 400 times , the same update .",0
update ,"Â  We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update e .","Â  We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows ","has appeared on this computer since we got it and has been updated probably 400 times , the same update e .",0
switch ,with the switch being at the top you need to memorize the key combination rather than just flicking a switch .,with the ,being at the top you need to memorize the key combination rather than just flicking a switch .,0
switch ,with the switch being at the top you need to memorize the key combination rather than just flicking a switch .,with the ,being at the top you need to memorize the key combination rather than just flicking a switch .,0
4GB stick of RAM ,"One more tip , please purchase this model and get a 4GB stick of RAM to save you $ 10","One more tip , please purchase this model and get a ",to save you $ 10,2
hardrive ,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard !,It has bein into the shop to get a new ,2 times and to fix the touch control buttons on the keyboard !,0
touch control buttons ,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard !,It has bein into the shop to get a new hardrive 2 times and to fix the ,on the keyboard !,0
keyboard ,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard !,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the ,!,0
performance ,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance .,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its ,.,2
iLife software ,"The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .",The computer runs very fast with no problems and the ,"that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .",2
iPhoto ,"The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .",The computer runs very fast with no problems and the iLife software that comes with it ( ,", iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .",2
iMovie ,"The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .","The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , ",", iWeb , iTunes , GarageBand ) is all very helpful as well .",2
iWeb ,"The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .","The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , ",", iTunes , GarageBand ) is all very helpful as well .",2
iTunes ,"The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .","The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , ",", GarageBand ) is all very helpful as well .",2
GarageBand ,"The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .","The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , ",) is all very helpful as well .,2
runs ,"The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .",The computer ,"very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .",2
system board ,At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again .,At first it worked well for a month or so then the ,failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again .,0
size ,"Â  Until I bought the Dell , I thought you just looked for what you wanted size e , software , options , hardware ) and purchase the best deal you could find .","Â  Until I bought the Dell , I thought you just looked for what you wanted ","e , software , options , hardware ) and purchase the best deal you could find .",1
software ,"Â  Until I bought the Dell , I thought you just looked for what you wanted ( size , software e , options , hardware ) and purchase the best deal you could find .","Â  Until I bought the Dell , I thought you just looked for what you wanted ( size , ","e , options , hardware ) and purchase the best deal you could find .",1
hardware ,"Â  Until I bought the Dell , I thought you just looked for what you wanted ( size , software , options , hardware e ) and purchase the best deal you could find .","Â  Until I bought the Dell , I thought you just looked for what you wanted ( size , software , options , ",e ) and purchase the best deal you could find .,1
memory ,"It has plenty of memory , lots of hard drive , and great graphics .",It has plenty of ,", lots of hard drive , and great graphics .",2
hard drive ,"It has plenty of memory , lots of hard drive , and great graphics .","It has plenty of memory , lots of ",", and great graphics .",2
graphics ,"It has plenty of memory , lots of hard drive , and great graphics .","It has plenty of memory , lots of hard drive , and great ",.,2
programs ,It did n't take me long to get switched over to the Mac computer programs and navigation - it 's been just fine and like the way this laptop functions much better .,It did n't take me long to get switched over to the Mac computer ,and navigation - it 's been just fine and like the way this laptop functions much better .,2
navigation ,It did n't take me long to get switched over to the Mac computer programs and navigation - it 's been just fine and like the way this laptop functions much better .,It did n't take me long to get switched over to the Mac computer programs and ,- it 's been just fine and like the way this laptop functions much better .,2
hinge ,"However , my girlfriend realized that the netbook 's hinge is a bit loose ( when you open or close the LCD ) .","However , my girlfriend realized that the netbook 's ",is a bit loose ( when you open or close the LCD ) .,0
LCD ,"However , my girlfriend realized that the netbook 's hinge is a bit loose ( when you open or close the LCD ) .","However , my girlfriend realized that the netbook 's hinge is a bit loose ( when you open or close the ",) .,1
DELL Customer Service ,My problem was with DELL Customer Service .,My problem was with ,.,0
RMA service ,"Newegg 's RMA service was great as always , I contacted them late Friday night , and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday .",Newegg 's ,"was great as always , I contacted them late Friday night , and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday .",2
Design ,Design : very durable .,a,: very durable .,2
keyboard ,It is easy to go from one keyboard to another .,It is easy to go from one ,to another .,1
battery life ,Has a 5-6 hour battery life .,Has a 5-6 hour ,.,1
screen/video resolution ,My ONLY issues are : 1 ) the screen/video resolution wo n't increase to a higher resolution then 1024 x 60,My ONLY issues are : 1 ) the ,wo n't increase to a higher resolution then 1024 x 60,0
resolution ,My ONLY issues are : 1 ) the screen/video resolution wo n't increase to a higher resolution then 1024 x 60,My ONLY issues are : 1 ) the screen/video ,wo n't increase to a higher resolution then 1024 x 60,0
applications ,"I run Dreamweaver , Final Cut Pro 7 , Photoshop , Safari , Firefox , MSN Messenger and a few other applications constantly at the same time .","I run Dreamweaver , Final Cut Pro 7 , Photoshop , Safari , Firefox , MSN Messenger and a few other ",constantly at the same time .,1
Dreamweaver ,"I run Dreamweaver , Final Cut Pro 7 , Photoshop , Safari , Firefox , MSN Messenger and a few other applications constantly at the same time .",I run ,", Final Cut Pro 7 , Photoshop , Safari , Firefox , MSN Messenger and a few other applications constantly at the same time .",1
Final Cut Pro 7 ,"I run Dreamweaver , Final Cut Pro 7 , Photoshop , Safari , Firefox , MSN Messenger and a few other applications constantly at the same time .","I run Dreamweaver , ",", Photoshop , Safari , Firefox , MSN Messenger and a few other applications constantly at the same time .",1
Photoshop ,"I run Dreamweaver , Final Cut Pro 7 , Photoshop , Safari , Firefox , MSN Messenger and a few other applications constantly at the same time .","I run Dreamweaver , Final Cut Pro 7 , ",", Safari , Firefox , MSN Messenger and a few other applications constantly at the same time .",1
Safari ,"I run Dreamweaver , Final Cut Pro 7 , Photoshop , Safari , Firefox , MSN Messenger and a few other applications constantly at the same time .","I run Dreamweaver , Final Cut Pro 7 , Photoshop , ",", Firefox , MSN Messenger and a few other applications constantly at the same time .",1
Firefox ,"I run Dreamweaver , Final Cut Pro 7 , Photoshop , Safari , Firefox , MSN Messenger and a few other applications constantly at the same time .","I run Dreamweaver , Final Cut Pro 7 , Photoshop , Safari , ",", MSN Messenger and a few other applications constantly at the same time .",1
MSN Messenger ,"I run Dreamweaver , Final Cut Pro 7 , Photoshop , Safari , Firefox , MSN Messenger and a few other applications constantly at the same time .","I run Dreamweaver , Final Cut Pro 7 , Photoshop , Safari , Firefox , ",and a few other applications constantly at the same time .,1
warrenty ,"Â  I was told by many that it was a great computer , but we got one of these , and it worked great for one year , and as soon as the warrenty y was up , then it got really bad .","Â  I was told by many that it was a great computer , but we got one of these , and it worked great for one year , and as soon as the ","y was up , then it got really bad .",0
tech support ,Ive had to call tech support many times .,Ive had to call ,many times .,1
Apple applications ,"The Apple applications ( ex.iPhoto ) are fun , easy , and really cool to use ( unlike the competition ) !",The ,"( ex.iPhoto ) are fun , easy , and really cool to use ( unlike the competition ) !",2
iPhoto ,"The Apple applications ( ex . iPhoto ) are fun , easy , and really cool to use ( unlike the competition ) !",The Apple applications ( ex . ,") are fun , easy , and really cool to use ( unlike the competition ) !",2
gigs ,Not to mention it has shit gigs .,Not to mention it has shit ,.,0
memory ,"I paid for extra memory and the 17-inch screen , as well as the top of the line DVD and CD burners .",I paid for extra ,"and the 17-inch screen , as well as the top of the line DVD and CD burners .",1
17-inch screen ,"I paid for extra memory and the 17-inch screen , as well as the top of the line DVD and CD burners .",I paid for extra memory and the ,", as well as the top of the line DVD and CD burners .",1
DVD ,"I paid for extra memory and the 17-inch screen , as well as the top of the line DVD and CD burners .","I paid for extra memory and the 17-inch screen , as well as the top of the line ",and CD burners .,2
CD burners ,"I paid for extra memory and the 17-inch screen , as well as the top of the line DVD and CD burners .","I paid for extra memory and the 17-inch screen , as well as the top of the line DVD and ",.,2
web browsing ,"Its pretty fast and does not have hiccups while I am using it for web browsing , uploading photos , watching movies ( 720p ) on occasion and creating presentations .",Its pretty fast and does not have hiccups while I am using it for ,", uploading photos , watching movies ( 720p ) on occasion and creating presentations .",2
uploading photos ,"Its pretty fast and does not have hiccups while I am using it for web browsing , uploading photos , watching movies ( 720p ) on occasion and creating presentations .","Its pretty fast and does not have hiccups while I am using it for web browsing , ",", watching movies ( 720p ) on occasion and creating presentations .",2
watching movies ,"Its pretty fast and does not have hiccups while I am using it for web browsing , uploading photos , watching movies ( 720p ) on occasion and creating presentations .","Its pretty fast and does not have hiccups while I am using it for web browsing , uploading photos , ",( 720p ) on occasion and creating presentations .,2
creating presentations ,"Its pretty fast and does not have hiccups while I am using it for web browsing , uploading photos , watching movies ( 720p ) on occasion and creating presentations .","Its pretty fast and does not have hiccups while I am using it for web browsing , uploading photos , watching movies ( 720p ) on occasion and ",.,2
Quality Display ,"Quality Display I love HP , , it 's the only computer/printer we will buy .",a,"I love HP , , it 's the only computer/printer we will buy .",2
12 cell battery ,"Despite the inconvenient weight , I opted for the 12 cell battery .","Despite the inconvenient weight , I opted for the ",.,2
case ,The case is carved out of a single block of aluminum .,The ,is carved out of a single block of aluminum .,1
power adapter plug ,Â  First it burned or fused the power adapter plug g .,Â  First it burned or fused the ,g .,0
features ,"the features are great , the only thing it needs is better speakers .",the ,"are great , the only thing it needs is better speakers .",2
speakers ,"the features are great , the only thing it needs is better speakers .","the features are great , the only thing it needs is better ",.,0
screen ,"It was still working , but there was nothing on the screen .","It was still working , but there was nothing on the ",.,0
TAB ,I bought this laptop and found its TAB is not functioning .,I bought this laptop and found its ,is not functioning .,0
extended warrenty ,Â  Toshiba is aware of the issue but unless the extended warrenty y is bought Toshiba will do nothing about it .,Â  Toshiba is aware of the issue but unless the ,y is bought Toshiba will do nothing about it .,0
TFT panel ,"-Called headquarters again , they report that TFT panel is broken , should be fixed by the end of the week ( week 3 ) .",#NAME?,"is broken , should be fixed by the end of the week ( week 3 ) .",0
Navigation ,"Navigation through the computer is far superior compared to Windows operating systems , as well .",a,"through the computer is far superior compared to Windows operating systems , as well .",2
Windows operating systems ,"Navigation through the computer is far superior compared to Windows operating systems , as well .",Navigation through the computer is far superior compared to ,", as well .",0
